dep_id,category,dependency_description,external_party,gate_blocking,current_status,target_milestone,closure_condition,self_closeable_by_ai
GOV-EXT-01,Ethics approval,Formal ethics approval from recognized institutional ethics committee / IRB,Institutional Ethics Committee / IRB,ETH-01,NOT OBTAINED,After study protocol finalized + submission,Written ethics approval issued and PI-confirmed authentic,NO
GOV-EXT-02,Hospital authorization,Formal authorization from hospital director / research management office for read-only eHospital data access,Hospital Director / Research Management Office / Data Owner,HOSP-01,NOT OBTAINED,After ETH-01 PASS + technical controls confirmed,Written hospital authorization issued and PI-confirmed authentic,NO
GOV-EXT-03,Independent qualification,Qualification decision from external independent assessor,Independent Assessor (to be designated by institution),IQ-01,NOT COMPLETED,After evidence package assembled + assessor designated,Signed qualification decision from independent assessor + PI-confirmed authentic,NO
GOV-EXT-04,Assessor designation,Institution designates independent qualified assessor (external; not PI; not developer),Research institution / Research Management Office,IQ-01,NOT DESIGNATED,Before evidence package transmitted to assessor,Institution issues formal assessor appointment; COI declaration submitted,NO
GOV-EXT-05,COI declaration,Assessor completes and institution accepts COI declaration,Independent Assessor + Institution,IQ-01,NOT COMPLETED,Before evidence transmitted to assessor,Completed COI form (R_GOV_1_INDEPENDENCE_AND_CONFLICT_OF_INTEREST_TEMPLATE.md) signed and accepted,NO
GOV-EXT-06,SSO integration,Institutional SSO (SAML 2.0 or OIDC) connected and tested,Hospital IT + Institutional IT,HOSP-01 + R1.3,NOT IMPLEMENTED,R1.3,Hospital IT signs off SSO integration test; research OS authenticates via institutional IdP,NO
GOV-EXT-07,MFA enrollment,MFA enrolled for all research team members via institutional MFA service,Hospital IT,HOSP-01 + R1.3,NOT IMPLEMENTED,R1.3,Hospital IT attestation; all team members enrolled and verified,NO
GOV-EXT-08,WORM audit storage,External WORM-capable storage solution (off-system or third-party) for production audit trail (PROD-AUD-01),Hospital IT / Institutional storage provider,HOSP-01 + R1.3,NOT IMPLEMENTED,R1.3,WORM storage provisioned; verified by write-protect test; ACT-R1-01/ACT-R1-04 closed,NO
GOV-EXT-09,Data access agreement,Data Access Agreement (DAA) signed by hospital data owner and PI,Hospital Data Owner + PI + Legal,HOSP-01,NOT SIGNED,Before data access,Signed DAA with scope; retention period; destruction plan; Decree 13 compliance confirmed,NO
GOV-EXT-10,DPIA,Data Protection Impact Assessment approved by Data Protection Officer,DPO / Legal,HOSP-01,NOT COMPLETED,Before data access,Completed and DPO-signed DPIA confirming Decree 13/2023 compliance,NO
GOV-EXT-11,Encryption at rest,Encryption at rest confirmed for research workstation and dataset storage,Hospital IT / PI,HOSP-01,NOT CONFIRMED,Before data access,IT Security Officer confirms encryption standard and key management,NO
GOV-EXT-12,Security pentest,Independent security penetration test of policy engine; audit ledger; delegation controls (ACT-R1-05),External security testing firm (not research team),IQ-01 (security scope),NOT CONDUCTED,R1.5,External tester report issued; critical findings remediated; report archived,NO
GOV-EXT-13,Hospital IT security review,Hospital IT Security Officer reviews and approves software use on institutional network,Hospital IT Security Officer,HOSP-01,NOT DONE,Before data access,IT Security Officer sign-off; conditions fulfilled,NO
GOV-EXT-14,Study registration,Study registered on recognized clinical trial registry (ClinicalTrials.gov / WHO ICTRP / national),PI,ETH-01 (prerequisite),NOT REGISTERED,Before or at ethics approval,Registration confirmed; registration ID recorded in ethics submission,NO
GOV-EXT-15,Pseudonymization service,Hospital IT confirms and deploys pseudonymization service for data extraction,Hospital IT,HOSP-01,NOT CONFIRMED,Before data access,Hospital IT attestation; test extraction with synthetic data completed,NO
GOV-EXT-16,GCP training,GCP training confirmed for all research team members,PI + Team members + Training provider,HOSP-01,NOT CONFIRMED,Before data access,Training certificates obtained; delegation log updated,NO
GOV-EXT-17,Study protocol approval,Final study protocol approved by ethics committee and signed by PI,Ethics Committee + PI,ETH-01,NOT OBTAINED,Part of ethics submission,Protocol included in ethics approval or separately approved,NO
GOV-EXT-18,SAP lock,Statistical Analysis Plan finalized and locked before data access (pre-specification),PI + Statistician,ETH-01 / HOSP-01,NOT LOCKED,Before data access (G4 gate),SAP version-locked with date stamp; filed with ethics or institution,NO
