Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,phieu_khao_sat,Hành chính,text,Mã số phiếu (mã nghiên cứu),,"Tên SPSS: ID — mã nghiên cứu, KHÔNG phải số thứ tự khám công khai (Phụ lục A). MaSoBenhNhan KHÔNG thuộc bộ dữ liệu nhóm nghiên cứu (mục 6.5)",,,,,,y,,,,,
mode_tra_loi,phieu_khao_sat,Vận hành phiếu,radio,Cách hoàn thành phiếu,"1, Tự điền | 2, Người nhà/người chăm sóc ghi hộ đúng nguyên văn | 3, Điều tra viên ghi hộ đúng nguyên văn","Nghiêm cấm proxy response ở cả 3 mức; dùng cho phân tích nhạy cảm loại phiếu có hỗ trợ (SAP §9, mục 4.10)",,,,,,y,,,,,
tuoi,phieu_khao_sat,Biến hiệu chỉnh (forced-in theo DAG — SAP §5),text,Tuổi (năm),,Tên SPSS: Tuoi. GIỮ LIÊN TỤC trong mô hình (NhomTuoi chỉ mô tả). Forced-in (SAP §5),integer,18,120,,,y,,,,,
gioitinh,phieu_khao_sat,,radio,Giới tính,"1, Nam | 2, Nữ",Tên SPSS: GioiTinh — phiếu không có lựa chọn thứ ba (Phụ lục A). Forced-in (SAP §5),,,,,,y,,,,,
trinhdohocvan,phieu_khao_sat,Nhân khẩu (mô tả),dropdown,Trình độ học vấn,"1, Mù chữ/chưa đi học | 2, Tiểu học | 3, THCS | 4, THPT | 5, TC/CĐ | 6, ĐH | 7, Sau ĐH",Tên SPSS: TrinhDoHocVan,,,,,,n,,,,,
nghenghiep,phieu_khao_sat,,dropdown,Nghề nghiệp,"1, CBCC/viên chức | 2, Nông/Lâm/Ngư | 3, Công nhân/LĐ chân tay | 4, LĐ tự do/KD nhỏ | 5, Hưu trí | 6, Nội trợ | 7, HS/SV | 8, Thất nghiệp | 9, Khác (ghi rõ)",Tên SPSS: NgheNghiep,,,,,,n,,,,,
nghenghiepkhac,phieu_khao_sat,,text,Nghề nghiệp — ghi rõ nếu chọn Khác,,Tên SPSS: Nghenghiepkhac,,,,,[nghenghiep] = '9',n,,,,,
tinhtranghonnhan,phieu_khao_sat,,radio,Tình trạng hôn nhân,"1, Độc thân | 2, Đã kết hôn/chung sống | 3, Ly hôn/ly thân | 4, Góa",Tên SPSS: TinhTrangHonNhan,,,,,,n,,,,,
noicutru,phieu_khao_sat,Biến hiệu chỉnh (forced-in theo DAG — SAP §5),radio,Nơi cư trú,"1, Thành thị | 2, Nông thôn",Tên SPSS: NoiCuTru. Forced-in (SAP §5),,,,,,y,,,,,
khoangcachnhabv,phieu_khao_sat,Nhân khẩu (mô tả) ,radio,Khoảng cách nhà–viện,"1, Dưới 5 km | 2, 5–10 km | 3, Trên 10 km",Tên SPSS: KhoangCachNhaBV,,,,,,n,,,,,
thunhaphogd,phieu_khao_sat,,dropdown,Thu nhập hộ gia đình/tháng,"1, Dưới 5 triệu | 2, 5–<10 triệu | 3, 10–<20 triệu | 4, Từ 20 triệu trở lên",Tên SPSS: ThuNhapHoGD,,,,,,n,,,,,
cobhyt,phieu_khao_sat,Biến hiệu chỉnh (forced-in theo DAG — SAP §5),radio,Có thẻ BHYT còn hiệu lực,"1, Có | 2, Không",Tên SPSS: CoBHYT. Forced-in (SAP §5),,,,,,y,,,,,
lydokham,phieu_khao_sat,Biến hiệu chỉnh (forced-in theo DAG — SAP §5),dropdown,Lý do khám lần này,"1, Khám lần đầu | 2, Tái khám theo lịch hẹn | 3, Khám sức khỏe định kỳ | 4, Chủ động chọn khám với một bác sĩ/chuyên khoa cụ thể theo yêu cầu riêng | 5, Khác (ghi rõ)",Tên SPSS: LyDoKham. Forced-in (SAP §5),,,,,,y,,,,,
lydokhamkhac,phieu_khao_sat,Mô tả (text tự do),text,Lý do khám — ghi rõ nếu chọn Khác,,Tên SPSS: LyDoKhamkhac,,,,,[lydokham] = '5',n,,,,,
solankham12thang,phieu_khao_sat,Nhân khẩu (mô tả)  ,radio,Số lần khám tại khoa trong 12 tháng qua,"1, 0 lần | 2, 1–2 lần | 3, Từ 3 lần trở lên",Tên SPSS: SoLanKham12Thang — biến mô tả/thăm dò,,,,,,n,,,,,
phuongtiendichuyen,phieu_khao_sat,,dropdown,Phương tiện di chuyển đến viện,"1, Xe máy | 2, Ô tô | 3, Xe buýt | 4, Taxi/xe công nghệ | 5, Xe khách/xe dịch vụ | 6, Khác","Tên SPSS: PhuongTienDiChuyen (6 danh mục, Phụ lục A)",,,,,,n,,,,,
nguonthongtinbv,phieu_khao_sat,,dropdown,Nguồn thông tin biết đến viện,"1, Người thân giới thiệu | 2, Tự tìm hiểu Internet | 3, NVYT nơi khác giới thiệu | 4, Đã từng khám trước | 5, Truyền thông | 6, Khác","Tên SPSS: NguonThongTinbv (6 danh mục, Phụ lục A)",,,,,,n,,,,,
kyvong_thoigiancho,phieu_khao_sat,Kỳ vọng (biến trung gian — KHÔNG vào mô hình chính),text,"Trước khi đến khám, Ông/Bà nghĩ mình sẽ phải chờ khoảng bao lâu (phút)?",,"8 = không nghĩ tới/không ước lượng được. Nguyên liệu dựng chenh_kyvong = kỳ vọng − thoigian_cho (dựng ở tầng phân tích, không phải field REDCap)",integer,0,600,,,n,,,,,
xacnhan_kyvong,phieu_khao_sat,,radio,"So với mong đợi trước khi đến, dịch vụ hôm nay như thế nào?","1, Kém hơn nhiều | 2, Kém hơn một chút | 3, Đúng như mong đợi | 4, Tốt hơn một chút | 5, Tốt hơn nhiều | 8, Không biết/không nhớ | 9, Không trả lời","Trung gian — KHÔNG hiệu chỉnh trong mô hình chính (tránh over-adjustment, Phụ lục D)",,,,,,n,,,,,
lydo_chon_theoyeucau,phieu_khao_sat,,checkbox,Lý do chính chọn khám theo yêu cầu (chọn tối đa 2),"1, Được chọn bác sĩ | 2, Chờ ít hơn | 3, Cơ sở vật chất tốt hơn | 4, Thái độ phục vụ tốt hơn | 5, Thuận tiện giờ giấc | 6, Có bảo hiểm/đơn vị chi trả | 7, Người quen giới thiệu | 8, Khác (ghi rõ)",Multi-select tối đa 2 — REDCap checkbox tự sinh cột lydo_chon_theoyeucau___1..___8 (khớp phương án (b) của codebook bổ sung),,,,,,n,,,,,
