case_id,domain,criterion,score,notes
A1,A - Governance,Constitutional invariants,3,"_HIEN-PHAP-LIEM-CHINH.md documents 6 bat bien; enforced via tham-dinh-dau-ra R1-R7; observability/APPRAISALS.jsonl has real timestamped verdicts (2026-07-12) proving execution; no independent non-creator sign-off found"
A2,A - Governance,"Orchestrators + gates (6 cong, 3 cung)",3,"tools/orchestrator/orchestrator.py implements 6 nang luc; live-ran tools/run_orchestrator.py myself just now, produced real persisted session 20260715-184106-99a773 in ~/.ebm-orchestrator/sessions/; 46 tests pass fresh (pytest tools/orchestrator/tests/); gate_contract.py role checks tested"
A3,A - Governance,Checkpoint & RESUME,3,"Verified live: --resume 20260715-184106-99a773 successfully replayed the session I created; ~/.ebm-orchestrator/sessions/ has real files dated 2026-07-08 through 2026-07-15 proving repeated real use over time"
A4,A - Governance,2-layer guardrail,3,"tham-dinh-dau-ra doctrine (R1-R7 + Q1-Q7) + guardrail_bridge.py; observability/APPRAISALS.jsonl shows 3 real timestamped runs with PASS/RETURN-FOR-FIX verdicts and tier0_red_fails detail (2026-07-12); no evidence of review independent of the same AI/codebase author"
A5,A - Governance,Semantic versioning,3,"Real git tags v4.3.3.2/v4.3.4/v4.3.5(-frozen) at repo root; CHANGELOG.md follows Keep a Changelog + SemVer with dated real entries (e.g. 1.2.1 - 2026-07-05); medical-ebm-automation git tags r1.1-frozen etc."
B1,B - Research Intake,G0 intake + PICO,3,"tools/run_g0_auto.py real script; exports/KKB-HAI-LONG-2026/G0_checkpoint.json generated_at 2026-07-09T20:03:39 with real embedded PubMed query results (G0_pubmed_raw.json, 6 PMIDs) and generated PICO/FINER docx/md artifacts"
B2,B - Research Intake,Design suitability + FINER,3,"Same G0_checkpoint.json: design_suggestion auto-derived from real evidence_level/gap data; however FINER's F(easible)/E(thical) fields are left as pending_doctor_actions (manual) -- automation is partial, not full FINER"
B3,B - Research Intake,Evidence gap assessment,3,"G0_checkpoint.json 'research_gaps' field populated from real PubMed query results (2026-07-09); khoang-trong-nghien-cuu.md documents the agent; concrete non-templated output observed"
B4,B - Research Intake,Feasibility check,2,"No dedicated feasibility-check code found; run_g1_auto.py explicitly defers 'kha thi (F trong FINER)' to the doctor/PI as a manual judgment (rationale string), not an automated check -- documented requirement only"
B5,B - Research Intake,Auto-log G0 intake,3,"exports/KKB-HAI-LONG-2026/G0_checkpoint.json itself is a real auto-written log (generated_at timestamp, guardrail status, pending_doctor_actions) produced by tools/run_g0_auto.py without manual authoring; so-cai-ghi-nho.md + EBM_MASTER ledger doctrine for downstream logging"
C1,C - Evidence Integrity,PMID/DOI bat buoc,3,"Live-ran EBM-Dashboards/tools/verify_dashboard.py against a real published dashboard just now: PASS, confirmed 5 PMID + 5 DOI required and checked; also enforced narratively via _HIEN-PHAP-LIEM-CHINH invariant #2"
C2,C - Evidence Integrity,Source hierarchy,2,"'RAG kho -> nguon chinh thong -> PubMed' order is documented in tra-cuu-chung-cu.md/_CONNECTOR-CHUNG-CU.md/_HIEN-PHAP-LIEM-CHINH.md, but found no deterministic code in app/sources/*.py enforcing/testing that exact retrieval order -- documentation/agent-instruction level only"
C3,C - Evidence Integrity,Schema day du,3,"verify_dashboard.py (DATA schema: meta/summary/items[]/etd per DESIGN-SPEC.md) live-ran successfully just now with PASS verdict on a real dashboard file"
C4,C - Evidence Integrity,Retraction screening,3,"tools/check_citation_retraction.py + app/sources/pubmed.py::check_retraction_status() call real PubMed E-utilities; tests/test_check_citation_retraction.py embeds a real efetch.fcgi XML fixture for PMID 9500320 (Wakefield, captured live 2026-07-15) and all tests passed in my fresh full pytest run"
C5,C - Evidence Integrity,Anti-fabrication test,3,"Multiple real test files (test_clinical_scores_integrity.py, test_offline_adversarial_guard_rules.py, test_no_mock_fallback_live.py, test_g10_assemble.py etc.) all passed cleanly in my fresh pytest run just now (1812 passed, 0 failed)"
C6,C - Evidence Integrity,Guideline currency,3,"Live-ran EBM_MASTER/tools/guideline_baseline.py 'tang huyet ap' just now: real query against EBM_MASTER.json ledger (534 evidence cards, updated 2026-07-15 today), returned a real matching card with PMID/DOI/date_source"
C7,C - Evidence Integrity,Monthly update,2,"com.medicalebm.monthlyupdate LaunchAgent IS installed (launchctl list confirms it, real plist at ~/Library/LaunchAgents/) and scripts/monthly_update.sh exists, but no launchd_stdout/stderr log file exists at the configured path -- no observable evidence the scheduled job has ever actually fired; per hard rule capped at 2"
D1,D - Protocol & Methods,Study design taxonomy,3,"tools/skill_standards.py::canonical_design_code()/reporting_standards_for() implement a real design-code->reporting-standard map; tests/test_skill_standards.py passed in my fresh full pytest run"
D2,D - Protocol & Methods,SAP template,3,"exports/KKB-HAI-LONG-2026/G4_SAP_KKB-HAI-LONG-2026.docx + G4_A5_SAP_FINAL...docx real generated files; G4_checkpoint.json shows real run with n_from_g3=428, alpha/power/design_code populated"
D3,D - Protocol & Methods,Bias assessment tools,2,"RoB2/ROBINS-I/QUADAS-2/AMSTAR-2 correct-tool-per-design guidance exists as text in run_g1_auto.py/run_g2_auto.py/clinical_calc.py, but no dedicated scoring calculator (unlike risk_score_calc.py for clinical scores) or test found that actually computes a bias-domain verdict"
D4,D - Protocol & Methods,Reporting standards,3,"exports/KKB-HAI-LONG-2026/17_Reporting_Checklist.md real generated (2026-06-29) enumerating CONSORT/STROBE/PRISMA/SPIRIT/STARD/TRIPOD+AI/COREQ/SQUIRE mapped to design; backed by tested reporting_standards_for()"
D5,D - Protocol & Methods,Multi-arm template,2,"Only scattered/unclear textual references found (e.g. run_g10_assemble.py); could not locate a dedicated multi-arm template file or execution evidence for any real study -- documented at best"
D6,D - Protocol & Methods,Subgroup pre-registration,2,"Only a mention inside thiet-ke-nghien-cuu.md agent instructions; no dedicated code/test/generated artifact found enforcing pre-registration of subgroup analyses"
D7,D - Protocol & Methods,Artifact templates A10/A13/A15,2,"A10 confirmed real+executed (exports/KKB-HAI-LONG-2026/G9_A10_AUTHOR_INTEGRITY_KKB-HAI-LONG-2026.docx via run_g9_auto.py); but A13/A15 only appear as checklist placeholder rows (🟡/🔴) in scaffold_research_project.py with no real generated artifact found for any study -- compound criterion only partially executed"
E1,E - Ethics & Privacy,IRB gate G2,3,"tools/run_g2_auto.py + exports/KKB-HAI-LONG-2026/G2_checkpoint.json (generated_at 2026-07-09T20:03:42, real risk_level/irb_route/documents_generated); tests/test_gate_contract_roles.py::test_g2_still_irb_only passed in fresh full pytest run"
E2,E - Ethics & Privacy,ICF + registry template,3,"G2_A3_ETHICS_PACKAGE_KKB-HAI-LONG-2026.md/.docx real generated with TL4 (ICF Vietnamese) TL5 (ICF English) + WHO 18-fields registration draft, confirmed via G2_checkpoint.json documents_generated list"
E3,E - Ethics & Privacy,Waiver-of-consent tree,3,"run_g2_auto.py has real icf_waiver_eligible decision logic keyed by design_code (e.g. true for sr_ma/published-data designs); imported/exercised by tests (test_gate_pipeline_smoke.py etc.) which passed in my fresh run"
E4,E - Ethics & Privacy,PII scrub policy,3,"_QUAN-TRI-DU-LIEU-PII.md doctrine + real tools/deidentify_research_dataset.py and tools/pseudonymize_research_dataset.py with corresponding tests (test_deidentify_research_dataset.py, test_pseudonymize_research_dataset.py) passing in fresh full run"
E5,E - Ethics & Privacy,PII leakage test,3,"tests/test_pii_adversarial.py + DataBoundary regex-based nested-structure PII check (runtime/controlled_orchestrator.py _has_pii, audited/hardened 2026-07-11 per code comment); all passed in my fresh pytest run"
E6,E - Ethics & Privacy,Data lock + G5,3,"tools/run_g5_auto.py + exports/KKB-HAI-LONG-2026/G5_checkpoint.json real (plus G5c_DATALOCK_...docx, G5_REDCap_dictionary...csv) confirmed on disk for a real study"
E7,E - Ethics & Privacy,RBAC matrix,3,"tools/gate_contract.py::_GATE_REQUIRED_STAKEHOLDERS is a real gate-to-role matrix (G2=IRB only, G4=statistician/PI, G8=independent peer reviewer only, G9=PI only); tests/test_gate_contract_roles.py + test_gate_contract_approval_ledger_stakeholder_parity.py passed fresh -- note: scope is limited to gate-approval roles, not a full system-wide access-control matrix"
F1,F - Data & SAP,SAP lock (G4 hard gate),3,"tools/run_g4_auto.py + exports/KKB-HAI-LONG-2026/G4_checkpoint.json real (status PENDING with pending_doctor_actions, guardrail PASS); role-gated by tested _GATE_REQUIRED_STAKEHOLDERS (statistician/PI only)"
F2,F - Data & SAP,Dummy tables,3,"exports/KKB-HAI-LONG-2026/15_Table_Shells.md real generated (2026-06-29) with structured shell tables; generation tool demonstrably executed even though cell values remain [CAN BO SUNG] pending real data"
F3,F - Data & SAP,Data dictionary + CRF,3,"exports/KKB-HAI-LONG-2026/G3b_VARIABLES_...docx + G3c_CRF_...docx + G5_REDCap_dictionary_...csv all real generated files on disk"
F4,F - Data & SAP,ALCOA+ integrity,2,"Append-only + backup principle is doctrine (invariant #6 in _HIEN-PHAP-LIEM-CHINH.md) and runtime/approval_ledger.py implements append-only behavior with passing tests, but found no test/artifact specifically validating the full ALCOA+ criteria set (Attributable/Legible/Contemporaneous/Original/Accurate/+) -- only generic ledger append-only coverage confirmed"
F5,F - Data & SAP,Actual CRF/questionnaire,3,"exports/KKB-HAI-LONG-2026/G3c_CRF_KKB-HAI-LONG-2026.docx real; exports/hai-long-benh-nhan-C1a-BVQY175/_danh-gia-phieu-khao-sat.md is a real filled survey-instrument appraisal document for an actual study"
F6,F - Data & SAP,Data Lock Memo + checksum,3,"exports/KKB-HAI-LONG-2026/13_Data_Lock_Memo.md real generated template (2026-06-29); tools/lock_analysis_dataset.py has real RDI._sha256_file() checksum computation, exercised by tests/test_analysis_dataset_lock.py + test_run_stats_data_lock_gate.py which passed fresh -- checksum mechanism executed in tests though no real study has computed a real checksum yet"
F7,F - Data & SAP,Reproduction test,3,"tests/test_reproducibility.py (AC-05) is a real determinism test hashing MockAgentRuntime output across repeated runs; passed in my fresh full pytest run just now (part of 1812 passed)"
G1,G - Analysis & Reporting,Analysis syntax per SAP,3,"exports/KKB-HAI-LONG-2026/14_Analysis_Syntax.md real generated (2026-06-29); tools/run_stats_analysis.py real analysis engine with passing tests (test_run_stats_survival.py etc, observed real ConvergenceWarning output confirming actual statsmodel/lifelines execution)"
G2,G - Analysis & Reporting,IMRAD compliance,3,"exports/KKB-HAI-LONG-2026/16_IMRAD_Manuscript.md + G7a_MANUSCRIPT/G7_A8_MANUSCRIPT docx real generated via tools/gen_research_docx.py and run_g7_auto.py"
