gap_id,domain,current_state,target_state,risk_level,affected_study_levels,required_control,owner_role,evidence_required,verification_method,go_no_go_dependency,implementation_phase
GOV-01,Ethics and Institutional Authorization,No ethics approval or institutional authorization exists. System is draft-only offline.,Valid ethics approval (waiver/exemption for LEVEL_A; full approval for LEVEL_B/C) AND institutional authorization letter signed by authorized representative.,CRITICAL,LEVEL_A LEVEL_B LEVEL_C,Ethics committee review and approval before any real data entry. Institutional authorization before system production access.,PI and Institution (not AI system),IRB/IEC approval document or waiver letter; institutional authorization signed.,Document review by independent qualified person.,LEVEL_A Go/No-Go Gate,R3
GOV-02,Conflict of Interest and Delegation Log,No COI declaration or delegation log exists. No role separation enforced.,Documented COI declarations for all study personnel. Signed delegation log with role-specific access. Separation of duties enforced.,HIGH,LEVEL_A LEVEL_B LEVEL_C,Delegation log template; COI disclosure form; RBAC role map linked to delegation.,PI and Institution,Signed COI forms; signed delegation log; RBAC configuration audit.,Review of signed documents and system RBAC mapping.,LEVEL_A Go/No-Go Gate,R1
GOV-03,Reviewer Independence and Separation of Duties,Reviewer identity not authenticated. Reviewer independence not established. Single person can review own work.,Authenticated reviewers with documented independence. Separation: author ≠ reviewer. Audit trail links reviewer identity to attestation.,HIGH,LEVEL_A LEVEL_B LEVEL_C,Identity management system (R1); role-based separation in workflow; audit events linked to authenticated user.,PI and Institution,Identity verification records; RBAC separation proof; audit trail showing reviewer ≠ author.,Technical audit + document review.,LEVEL_A Go/No-Go Gate,R1
ID-01,Real User Identity and Authentication,No real user accounts. No identity verification. System accepts any string as reviewer_reference.,Real institutional accounts with verified identity. No anonymous access to production data.,CRITICAL,LEVEL_A LEVEL_B LEVEL_C,SSO integration with institutional identity provider (LDAP/SAML) or verified account system.,IT / Institution,Identity provider integration test report; user provisioning procedure; account lifecycle policy.,Penetration test; user account audit.,LEVEL_A Go/No-Go Gate,R1
ID-02,MFA and Access Revocation,No MFA. No account lockout. No access revocation workflow.,MFA enforced for all production access. Automated account deactivation on role change or departure. Access review log.,CRITICAL,LEVEL_A LEVEL_B LEVEL_C,MFA configuration; access revocation procedure; periodic access review schedule.,IT / Institution,MFA enforcement test; sample access revocation test; access review log.,Technical verification + procedure review.,LEVEL_A Go/No-Go Gate,R1
ID-03,Electronic Signature and Attestation Policy,No electronic signature. Reviewer attestation is a string field with no legal binding.,Defined electronic signature policy meeting applicable regulatory requirements. Audit trail captures signatory identity + timestamp + meaning of signature.,HIGH,LEVEL_A LEVEL_B LEVEL_C,Electronic signature policy; signature capture mechanism linked to authenticated user identity.,PI / Legal / Institution,Signed e-signature policy; technical demonstration of signature capture with user binding.,Policy review + technical test.,LEVEL_A Go/No-Go Gate,R1
DATA-01,De-identification and Re-identification Risk Assessment,No de-identification protocol. No re-identification risk assessment. PII guard is marker-based string check only.,Formal de-identification protocol (expert determination or safe harbor). Re-identification risk assessment before LEVEL_A pilot.,CRITICAL,LEVEL_A LEVEL_B LEVEL_C,De-identification SOP; re-identification risk assessment by qualified data privacy expert; data classification policy.,Data Privacy Officer / PI,De-identification SOP signed; risk assessment report; approval from ethics committee or data governance.,Independent review of de-identification protocol and risk assessment.,LEVEL_A Go/No-Go Gate,R3
DATA-02,Data Minimization and Permitted-Use Policy,No data minimization policy. No permitted-use restriction beyond DRAFT marker.,Documented data minimization policy. Permitted-use boundaries defined per study protocol. Secondary use restricted.,HIGH,LEVEL_A LEVEL_B LEVEL_C,Data minimization policy; permitted-use agreement; data classification by sensitivity.,PI / Data Governance / Institution,Signed policy document; evidence of minimum-necessary data set definition per protocol.,Policy review; data field audit.,LEVEL_A Go/No-Go Gate,R3
DATA-03,Retention Backup and Disaster Recovery,No production backup. No retention policy. Files stored on OneDrive without production DR plan.,Defined retention policy per applicable regulations. Automated backup with tested restore. DR plan with RTO/RPO targets.,HIGH,LEVEL_A LEVEL_B LEVEL_C,Backup system configuration; retention schedule; DR plan document; backup restore test.,IT / Institution,Backup configuration audit; restore test report; DR plan signed; RTO/RPO verified.,Technical verification of backup restore; DR test with documented results.,LEVEL_A Go/No-Go Gate,R2
DATA-04,Audit Trail and Data Provenance,Audit events are JSONL append-only in local files. No tamper-evident storage. No external audit log sink.,Tamper-evident audit trail with cryptographic integrity (hash chain or external log sink). Data provenance traceable to authenticated user + timestamp + action.,HIGH,LEVEL_A LEVEL_B LEVEL_C,Cryptographic audit trail (hash chain or write-once storage); provenance metadata per record.,IT / Validation,Audit trail integrity test; provenance trace demonstration; validation test report.,Technical validation test; penetration test for audit log tampering.,LEVEL_A Go/No-Go Gate,R2
EDC-01,CRF Production Configuration,No production CRF. System generates DRAFT artifacts only. No validated data entry form.,Validated production CRF matching approved protocol. User acceptance testing completed. Change control documented.,CRITICAL,LEVEL_A LEVEL_B LEVEL_C,CRF design based on approved protocol; UAT test script; validation test report; change control log.,PI / EDC Vendor / Validation Team,CRF design specification; UAT results; validation test report signed by PI.,Independent validation review.,LEVEL_A Go/No-Go Gate,R2
EDC-02,Edit Checks and Query Management,No edit checks. No data query workflow. System accepts any input without range or logic validation.,Validated edit checks enforcing range, logic and consistency rules. Query management workflow with resolution tracking.,HIGH,LEVEL_A LEVEL_B LEVEL_C,Edit check specification; query management SOP; validation test for each edit check.,PI / EDC Vendor / Validation,Edit check specification; validation test results; query management procedure.,Validation test review; sample query resolution audit.,LEVEL_A Go/No-Go Gate,R2
EDC-03,Database Lock and Controlled Export,No database lock capability. No controlled export. JSONL files can be appended indefinitely.,Database lock procedure with PI authorization. Controlled export producing audit-ready dataset. Post-lock change management.,HIGH,LEVEL_A LEVEL_B LEVEL_C,Database lock SOP; controlled export procedure; post-lock change control.,PI / EDC Vendor / Data Manager,Lock procedure document; export test with hash verification; post-lock amendment policy.,Procedure review; technical lock/unlock test.,LEVEL_B Go/No-Go Gate,R2
EDC-04,Validation Package and Change Control,No formal validation package. No change control. Code changes are not qualified.,Complete validation package (IQ/OQ/PQ or equivalent) for all production software. Change control for all modifications to validated system.,CRITICAL,LEVEL_A LEVEL_B LEVEL_C,Validation plan; IQ/OQ/PQ test protocols; change control SOP; version control with review.,Validation Lead / IT,Signed validation package; change control log; SOP for validated system changes.,Independent validation review by qualified validator.,LEVEL_A Go/No-Go Gate,R5
HIS-01,Approved Read-Only eHospital Extraction Boundary,No eHospital connection. No approved data extraction boundary. No institutional authorization for data access.,Documented and institutionally approved read-only extraction boundary. Technical controls preventing write-back. Approved data fields list.,CRITICAL,LEVEL_A LEVEL_B LEVEL_C,Data access agreement with hospital IT; approved field list; technical read-only enforcement; no write-back control.,PI / Hospital IT / Institution,Data access agreement signed; technical architecture review showing read-only; no write-back test.,Technical review; penetration test for write-back prevention.,LEVEL_A Go/No-Go Gate,R4
HIS-02,Data Dictionary Mapping and Quality Reconciliation,No data dictionary. No field mapping from eHospital to research platform. No reconciliation procedure.,Documented data dictionary mapping eHospital fields to research variables. Reconciliation procedure for data quality.,HIGH,LEVEL_A LEVEL_B LEVEL_C,Data dictionary mapping document; reconciliation SOP; data quality checks.,PI / Data Manager / Hospital IT,Data dictionary document; reconciliation procedure; test extraction with reconciliation results.,Document review; test extraction quality check.,LEVEL_A Go/No-Go Gate,R4
SAFE-01,Adverse Event and Deviation Workflow,No AE/SAE workflow. No protocol deviation tracking. System has no safety reporting capability.,Validated AE/SAE reporting workflow with timeline enforcement. Protocol deviation log. Safety reporting to ethics committee and sponsor.,CRITICAL,LEVEL_B LEVEL_C,AE/SAE workflow; deviation log; safety reporting SOP; timeline alerts.,PI / Safety Monitor / Sponsor,AE workflow validation test; SAE reporting SOP; deviation log template; timeline test.,Safety workflow test; SAE timeline verification.,LEVEL_B Go/No-Go Gate,R3
SAFE-02,Monitoring and Escalation Workflow,No monitoring plan. No central monitoring capability. No escalation pathway.,Approved monitoring plan. Central statistical monitoring capability. Escalation pathway to PI and sponsor.,HIGH,LEVEL_B LEVEL_C,Monitoring plan document; monitoring SOP; escalation matrix; central monitoring tool configuration.,PI / Monitor / Sponsor,Monitoring plan signed; escalation matrix approved; central monitoring tool validation.,Document review; monitoring simulation.,LEVEL_B Go/No-Go Gate,R3
QUAL-01,Independent Validation and Security Testing,No independent validation. No security testing. Self-assessed only.,Independent validation by qualified validator. Penetration test by independent security tester. Remediation of all critical findings.,CRITICAL,LEVEL_A LEVEL_B LEVEL_C,Independent validation engagement; penetration test; CAPA for all critical findings.,Validation Lead / Security Tester (Independent),Validation report signed by independent validator; penetration test report; CAPA closed.,Independent review of validation and security test reports.,LEVEL_A Go/No-Go Gate,R5
