blocker_id,pack,category,description,owner,status,prerequisite,blocking_effect,resolution_path,notes
BLK-ETH-01,ETHICS,Protocol,Study protocol not yet written and signed,PI,NOT PREPARED,None,BLOCKING — no submission possible without protocol,PI writes and signs protocol; assign version and date,Foundation document for all other ethics items
BLK-ETH-02,ETHICS,Protocol,SAP not yet written and locked,PI + Biostatistician,NOT LOCKED,Protocol finalized,BLOCKING — must be locked before any data access,PI + biostatistician prepare and lock SAP,Pre-registration requirement; must predate all data access
BLK-ETH-03,ETHICS,Study identification,Study title / classification / objectives / population / criteria — all placeholders,PI,MISSING,Protocol finalized,BLOCKING — 7 items (EHI-01 through EHI-12),PI completes all placeholder fields in ethics dossier,Replace all [TO BE CONFIRMED BY PI] markers
BLK-ETH-04,ETHICS,Consent/waiver,Consent/waiver pathway not selected; pathway criteria not documented; committee determination pending,PI + Ethics committee,MISSING,Protocol finalized,BLOCKING — cannot submit without consent plan,PI selects pathway and completes template; committee determines,TO BE DETERMINED BY COMPETENT ETHICS BODY
BLK-ETH-05,ETHICS,Risk-benefit,PI statement of benefits and proportionality not completed; DPIA not completed,PI + DPO,INCOMPLETE,Protocol finalized,BLOCKING — committee cannot assess without PI statement,PI completes PI sections; DPO conducts DPIA,Ethics committee cannot make proportionality determination without PI input
BLK-ETH-06,ETHICS,Study documents,ICF and PIS not prepared (Vietnamese and English),PI,NOT PREPARED,Consent pathway selected,BLOCKING — required unless waiver granted,PI prepares ICF and PIS; submit to committee,Required documents unless committee grants waiver
BLK-ETH-07,ETHICS,Data governance,Data destruction plan not prepared; data management plan not prepared,PI + Data Manager,NOT PREPARED,Protocol finalized,BLOCKING — required for ethics submission,PI + data manager prepare formal plans,Retention framework exists in code; formal signed plans required
BLK-ETH-08,ETHICS,Team,CVs; COI declarations; delegation log; GCP certificates — all not prepared,PI + Team,NOT PREPARED,Team finalized,BLOCKING — required for ethics submission,PI and all team members prepare and sign,All named investigators required
BLK-ETH-09,ETHICS,Regulatory,Insurance/indemnity not arranged; study not registered on clinical trials registry,PI + Institution,NOT ARRANGED / NOT REGISTERED,Protocol finalized,BLOCKING (insurance) / CONDITIONAL (registration required at or before approval),PI arranges insurance; registers study on ClinicalTrials.gov or WHO ICTRP,Insurance required before ethics approval; registration required before or at approval
BLK-ETH-10,ETHICS,External form,Ethics application form not yet obtained from target committee,PI,NOT OBTAINED,Target committee identified,BLOCKING — submission impossible without committee's own form,PI identifies target committee and obtains their specific form,Committee-specific form; varies by institution
BLK-ETH-11,ETHICS,Regulatory,Circular 29/2020/TT-BYT compliance not confirmed; monitoring plan not prepared,PI + Legal + Monitor,NOT CONFIRMED,Protocol finalized,BLOCKING,PI + legal officer review; PI + monitor prepare monitoring plan,Vietnamese regulatory requirement
BLK-HOSP-01,HOSPITAL,Prerequisite,Ethics approval (ETH-GOV-01) not obtained — hospital submission cannot proceed,Ethics committee,NOT OBTAINED,None — this must come before all hospital steps,BLOCKING — all hospital items blocked until ETH-01 obtained,Obtain ethics approval first,Sequential prerequisite; cannot be waived
BLK-HOSP-02,HOSPITAL,Study identification,Institution name; department; study title; data access period — all placeholders,PI,MISSING,Ethics approval,BLOCKING — all blank in hospital documents,PI completes after ethics approval reference is obtained,Must match ethics-approved title exactly
