case_id,domain,criterion,score,notes
A1,A - Governance,Constitutional invariants,,
A2,A - Governance,"Orchestrators + gates (6 cong, 3 cung)",,
A3,A - Governance,Checkpoint & RESUME,,
A4,A - Governance,2-layer guardrail,,
A5,A - Governance,Semantic versioning,,
B1,B - Research Intake,G0 intake + PICO,,
B2,B - Research Intake,Design suitability + FINER,,
B3,B - Research Intake,Evidence gap assessment,,
B4,B - Research Intake,Feasibility check,,
B5,B - Research Intake,Auto-log G0 intake,,
C1,C - Evidence Integrity,PMID/DOI bat buoc,,
C2,C - Evidence Integrity,Source hierarchy,,
C3,C - Evidence Integrity,Schema day du,,
C4,C - Evidence Integrity,Retraction screening,,
C5,C - Evidence Integrity,Anti-fabrication test,,
C6,C - Evidence Integrity,Guideline currency,,
C7,C - Evidence Integrity,Monthly update,,
D1,D - Protocol & Methods,Study design taxonomy,,
D2,D - Protocol & Methods,SAP template,,
D3,D - Protocol & Methods,Bias assessment tools,,
D4,D - Protocol & Methods,Reporting standards,,
D5,D - Protocol & Methods,Multi-arm template,,
D6,D - Protocol & Methods,Subgroup pre-registration,,
D7,D - Protocol & Methods,Artifact templates A10/A13/A15,,
E1,E - Ethics & Privacy,IRB gate G2,,
E2,E - Ethics & Privacy,ICF + registry template,,
E3,E - Ethics & Privacy,Waiver-of-consent tree,,
E4,E - Ethics & Privacy,PII scrub policy,,
E5,E - Ethics & Privacy,PII leakage test,,
E6,E - Ethics & Privacy,Data lock + G5,,
E7,E - Ethics & Privacy,RBAC matrix,,
F1,F - Data & SAP,SAP lock (G4 hard gate),,
F2,F - Data & SAP,Dummy tables,,
F3,F - Data & SAP,Data dictionary + CRF,,
F4,F - Data & SAP,ALCOA+ integrity,,
F5,F - Data & SAP,Actual CRF/questionnaire,,
F6,F - Data & SAP,Data Lock Memo + checksum,,
F7,F - Data & SAP,Reproduction test,,
G1,G - Analysis & Reporting,Analysis syntax per SAP,,
G2,G - Analysis & Reporting,IMRAD compliance,,
G3,G - Analysis & Reporting,Results<->Discussion sync,,
G4,G - Analysis & Reporting,EQUATOR validator,,
G5,G - Analysis & Reporting,Data Sharing Statement,,
H1,H - QA & Testing,2-layer guardrail,,
H2,H - QA & Testing,Golden tests,,
H3,H - QA & Testing,Adversarial test suite,,
H4,H - QA & Testing,Regression tests,,
H5,H - QA & Testing,enforce_agent_guardrails,,
I1,I - End-to-End,Baseline audit report,,
I2,I - End-to-End,System inventory,,
I3,I - End-to-End,Cross-session continuity,,
I4,I - End-to-End,Sync failure alert,,
I5,I - End-to-End,Audit completeness,,
