req_id,requirement_category,requirement_description,regulatory_source,confirmed_by,confirmation_method,current_status,pack_document,notes
ETH-REQ-01,Study design,Study protocol written dated version-numbered and PI-signed,Helsinki Declaration; ICH E6 §8.2.2,PI,Document submission,NOT PREPARED,R_GOV_1_ETHICS_SUBMISSION_CHECKLIST.md §1.2,Must be complete before ethics submission
ETH-REQ-02,Study design,Protocol version-controlled and locked before submission,ICH E6; SPIRIT,PI,Document submission,NOT PREPARED,R_GOV_1_ETHICS_SUBMISSION_CHECKLIST.md §1.2,Version control required
ETH-REQ-03,Statistical plan,SAP written and version-locked before data access,ICH E9; GCP §5.4,PI + Biostatistician,Document submission,NOT LOCKED,R_GOV_1_ETHICS_SUBMISSION_CHECKLIST.md §1.3,Pre-specification required
ETH-REQ-04,Data collection,CRF and data dictionary finalized,ICH E6 §8.3.2; GCP,PI + Data Manager,Document submission,NOT PREPARED,R_GOV_1_ETHICS_SUBMISSION_CHECKLIST.md §1.4,Links to R2.0 synthetic EDC modules
ETH-REQ-05,Informed consent,ICF drafted in Vietnamese and English,Helsinki §26; ICH E6 §4.8,PI,Document submission,NOT PREPARED,R_GOV_1_ETHICS_SUBMISSION_CHECKLIST.md §1.6,Required unless waiver granted
ETH-REQ-06,Informed consent,PIS drafted in Vietnamese and English,Helsinki §26; ICH E6 §4.8,PI,Document submission,NOT PREPARED,R_GOV_1_ETHICS_SUBMISSION_CHECKLIST.md §1.5,Required unless waiver granted
ETH-REQ-07,Consent / waiver,Consent or waiver approach approved by ethics committee,Helsinki §26; Circular 29/2020/TT-BYT,Ethics committee,External ethics decision,TO BE DETERMINED BY COMPETENT ETHICS BODY,R_GOV_1_CONSENT_OR_WAIVER_ASSESSMENT_TEMPLATE.md,Cannot be self-determined
ETH-REQ-08,Risk-benefit,Risk-benefit assessment prepared by PI and submitted,Helsinki §17; Common Rule,PI + Ethics committee,Document review by committee,PREPARED (PI assessment); COMMITTEE DECISION PENDING,R_GOV_1_ETHICS_RISK_BENEFIT_AND_PRIVACY_ASSESSMENT.md,Ethics committee must confirm proportionality
ETH-REQ-09,Privacy,Pseudonymization method described and adequate,Decree 13/2023/ND-CP; GDPR equivalent,PI + DPO,Legal/DPO review,DESIGNED; NOT IMPLEMENTED IN PRODUCTION,R_GOV_1_ETHICS_RISK_BENEFIT_AND_PRIVACY_ASSESSMENT.md §4.2,SHA-256 design; hospital holds key
ETH-REQ-10,Privacy,DPIA completed and approved,Decree 13/2023/ND-CP Art.43,PI + DPO,DPO sign-off,NOT COMPLETED,R_GOV_1_ETHICS_RISK_BENEFIT_AND_PRIVACY_ASSESSMENT.md §4.4,Required before data access
