trace_id,governance_requirement,requirement_source,ethics_pack_document,ethics_pack_status,hospital_pack_document,hospital_pack_status,iq_pack_document,iq_pack_status,consistency_status,notes
TM2-01,Study title identified and confirmed,Helsinki §15; ICH E6,R_GOV_1_ETHICS_REVIEW_READINESS_DOSSIER.md Part 1,INCOMPLETE — placeholder,R_GOV_1_HOSPITAL_AUTHORIZATION_READINESS_DOSSIER.md Part 1,INCOMPLETE — placeholder,R_GOV_1_INDEPENDENT_QUALIFICATION_READINESS_DOSSIER.md §2,NOT APPLICABLE — system title not study title,CONSISTENT — all packs use same placeholder,PI must provide official study title
TM2-02,PI and team identified,ICH E6 §8.2.10,R_GOV_1_ETHICS_REVIEW_READINESS_DOSSIER.md Part 1; EHI-26 through EHI-29,INCOMPLETE — team placeholders,R_GOV_1_HOSPITAL_ROLE_AND_APPROVAL_MATRIX.md Section 3,INCOMPLETE — team placeholders,R_GOV_1_INDEPENDENCE_AND_CONFLICT_OF_INTEREST_TEMPLATE.md Section 1,INCOMPLETE — assessor not designated,CONSISTENT — all packs reflect same gap,PI must finalize all team member details
TM2-03,Ethics committee approval required,Helsinki §23; Circular 29/2020/TT-BYT,R_GOV_1_ETHICS_GO_NO_GO_REGISTER.md,NOT GRANTED,R_GOV_1_HOSPITAL_AUTHORIZATION_GO_NO_GO_REGISTER.md BLOCKER 1,PREREQUISITE NOT MET,R_GOV_1_INDEPENDENT_QUALIFICATION_GO_NO_GO_REGISTER.md,PREREQUISITE NOT MET,CONSISTENT — all packs reflect ethics as prerequisite,ETH-01 gate is NO-GO; must be obtained first
TM2-04,Hospital authorization required,Vietnamese health research law,NOT IN ETHICS PACK — not applicable,N/A,R_GOV_1_HOSPITAL_AUTHORIZATION_READINESS_DOSSIER.md,NOT GRANTED,R_GOV_1_INDEPENDENT_QUALIFICATION_GO_NO_GO_REGISTER.md,PREREQUISITE NOT MET,CONSISTENT,HOSP-01 gate is NO-GO; must be obtained second
TM2-05,Independent qualification required,Research governance best practice; institutional policy,NOT IN ETHICS PACK,N/A,NOT IN HOSPITAL PACK — not applicable,N/A,Full IQ pack (R_GOV_1_INDEPENDENT_QUALIFICATION_READINESS_DOSSIER.md etc.),NOT STARTED,CONSISTENT,IQ-01 gate is NO-GO; must be obtained third
TM2-06,Consent or waiver for data use,Helsinki §26; ICH E6 §4.8; Circular 29/2020/TT-BYT,R_GOV_1_CONSENT_OR_WAIVER_ASSESSMENT_TEMPLATE.md,INCOMPLETE — PI must select pathway; committee must determine,R_GOV_1_HOSPITAL_DATA_ACCESS_AND_SYSTEM_USE_REQUEST.md Section 5,REFERENCED — data use governed by ethics consent/waiver,NOT APPLICABLE — IQ pack,N/A,CONSISTENT — consent/waiver wording uniform; "TO BE DETERMINED BY COMPETENT ETHICS BODY",PI must select pathway; ethics committee decides
TM2-07,Pseudonymization of subject identifiers,Decree 13/2023/ND-CP; GDPR equivalent,R_GOV_1_ETHICS_RISK_BENEFIT_AND_PRIVACY_ASSESSMENT.md §4.2,COMPLETE — SHA-256 design documented,R_GOV_1_EHOSPITAL_READ_ONLY_BOUNDARY_PROPOSAL.md §4,COMPLETE — boundary and pseudonymization documented,R_GOV_1_SECURITY_AND_TECHNICAL_QUALIFICATION_SCOPE.md QS-07,COMPLETE — in-scope for assessor,CONSISTENT,Hospital holds key; design not yet implemented in production
TM2-08,Data access limited to minimum necessary,Data governance principles; Decree 13,R_GOV_1_ETHICS_RISK_BENEFIT_AND_PRIVACY_ASSESSMENT.md §4.3,COMPLETE — 8 domains minimum necessary justified,R_GOV_1_HOSPITAL_DATA_ACCESS_AND_SYSTEM_USE_REQUEST.md Section 2,INCOMPLETE — per-domain justification not yet written,NOT APPLICABLE to IQ pack directly,N/A,CONSISTENT — gap is hospital-pack only; not a cross-pack inconsistency,PI must write justification for each domain in hospital request
TM2-09,Read-only access to eHospital — no write-back,Hospital data governance,NOT IN ETHICS PACK,N/A,R_GOV_1_EHOSPITAL_READ_ONLY_BOUNDARY_PROPOSAL.md,COMPLETE — zero-write interface documented,R_GOV_1_SECURITY_AND_TECHNICAL_QUALIFICATION_SCOPE.md QS-15,COMPLETE — in-scope,CONSISTENT,eHospital integration NOT IMPLEMENTED; design only
TM2-10,AI-use limitation disclosed in all submissions,Research ethics best practice; institutional policy,R_GOV_1_ETHICS_REVIEW_READINESS_DOSSIER.md Part 10,COMPLETE — AI-use limitation statement present,R_GOV_1_HOSPITAL_AUTHORIZATION_READINESS_DOSSIER.md Part 4,COMPLETE — AI-use limitations referenced,R_GOV_1_INDEPENDENT_QUALIFICATION_READINESS_DOSSIER.md §2,COMPLETE — system not intended for real decisions,CONSISTENT,AI-use limitation statement is consistent across all packs
TM2-11,System-use limitations disclosed (NOT IMPLEMENTED items),Research governance; honest disclosure,R_GOV_1_ETHICS_REVIEW_READINESS_DOSSIER.md Part 9,COMPLETE,R_GOV_1_HOSPITAL_INFORMATION_SECURITY_AND_INCIDENT_PLAN.md Section 2,COMPLETE — all gaps disclosed,R_GOV_1_TECHNICAL_BASELINE_CONFIRMATION.md §7,COMPLETE — all NOT_IMPLEMENTED documented,CONSISTENT,All packs honestly disclose the same NOT_IMPLEMENTED items
TM2-12,Risk-benefit assessment,Helsinki §17; Common Rule,R_GOV_1_ETHICS_RISK_BENEFIT_AND_PRIVACY_ASSESSMENT.md,INCOMPLETE — PI statement pending; committee decision pending,NOT IN HOSPITAL PACK,N/A,NOT APPLICABLE to IQ pack,N/A,CONSISTENT — only relevant to ethics pack,Risk-benefit is for ethics review only
TM2-13,DPIA (Data Protection Impact Assessment),Decree 13/2023/ND-CP Art. 43,R_GOV_1_ETHICS_RISK_BENEFIT_AND_PRIVACY_ASSESSMENT.md §4.4,NOT COMPLETED — EHI-17,R_GOV_1_HOSPITAL_AUTHORIZATION_READINESS_DOSSIER.md Part 7,NOT COMPLETED — HHI-32,NOT APPLICABLE,N/A,CONSISTENT — same gap noted in both packs,DPO must conduct DPIA before any data access
TM2-14,Data retention plan specified,Circular 29; GCP §8.4,R_GOV_1_ETHICS_REVIEW_READINESS_DOSSIER.md Part 7,INCOMPLETE — framework present; formal plan not finalized,R_GOV_1_HOSPITAL_AUTHORIZATION_READINESS_DOSSIER.md Part 5,INCOMPLETE — same gap,NOT APPLICABLE to IQ pack,N/A,CONSISTENT — same gap in both packs,Formal signed retention/destruction plan required
TM2-15,Audit trail and access control,GCP; security standards,NOT IN ETHICS PACK specifically,N/A,R_GOV_1_HOSPITAL_INFORMATION_SECURITY_AND_INCIDENT_PLAN.md Section 2,COMPLETE — PROD-AUD-01 gap honestly disclosed,R_GOV_1_SECURITY_AND_TECHNICAL_QUALIFICATION_SCOPE.md QS-10,IN-SCOPE for assessor,CONSISTENT — PROD-AUD-01 OPEN status consistent,Hospital must assess acceptability of gap
TM2-16,RBAC and access control,Security standards; GCP,NOT IN ETHICS PACK specifically,N/A,R_GOV_1_HOSPITAL_INFORMATION_SECURITY_AND_INCIDENT_PLAN.md Section 2,COMPLETE — PROD-RBAC-01 gap disclosed,R_GOV_1_SECURITY_AND_TECHNICAL_QUALIFICATION_SCOPE.md QS-11,IN-SCOPE for assessor,CONSISTENT — NOT_IMPLEMENTED status consistent,ACT-R1-05 OPEN; hospital must assess acceptability
TM2-17,Identity and authentication,Security standards,NOT IN ETHICS PACK specifically,N/A,R_GOV_1_HOSPITAL_INFORMATION_SECURITY_AND_INCIDENT_PLAN.md Section 2,COMPLETE — SSO/MFA NOT_IMPLEMENTED disclosed,R_GOV_1_SECURITY_AND_TECHNICAL_QUALIFICATION_SCOPE.md QS-12,IN-SCOPE for assessor,CONSISTENT — NOT_IMPLEMENTED status consistent,ACT-R1-02/ACT-R1-03 OPEN
TM2-18,Incident escalation plan,Data governance; security standards,NOT IN ETHICS PACK,N/A,R_GOV_1_HOSPITAL_INFORMATION_SECURITY_AND_INCIDENT_PLAN.md Section 4,INCOMPLETE — contacts all blank,NOT APPLICABLE to IQ pack,N/A,CONSISTENT — gap is hospital-pack only,PI must fill notification contacts
TM2-19,COI declarations — team,ICMJE; ICH E6,R_GOV_1_ETHICS_SUBMISSION_CHECKLIST.md; EHI-40 through EHI-41,NOT PREPARED,R_GOV_1_HOSPITAL_AUTHORIZATION_READINESS_DOSSIER.md Part 6,NOT PREPARED,R_GOV_1_INDEPENDENCE_AND_CONFLICT_OF_INTEREST_TEMPLATE.md,BLANK — assessor COI,CONSISTENT — same gap across all packs,COI declarations required for all three submissions (team for ethics/hospital; assessor for IQ)
