gap_id,finding_source,risk_level_original,remediation_type,source_file_changed,source_change_description,test_file_changed,test_id,test_description,acceptance_criteria,acceptance_status,residual_risk,vl_reconfirmation_required
G-01,R1_1_1_VALIDATION_DESIGN_REVIEW.md §4.4,LOW,ADD_TEST,None,No source change required,tests/test_r1_1_2_gap_remediation.py,TestG01_CLI_Subprocess::test_g01_rbac_simulate_exits_zero,CLI subprocess: rbac-simulate exits 0,exit_code == 0,PENDING_RUN,VERY_LOW,No
G-01,R1_1_1_VALIDATION_DESIGN_REVIEW.md §4.4,LOW,ADD_TEST,None,No source change required,tests/test_r1_1_2_gap_remediation.py,TestG01_CLI_Subprocess::test_g01_delegation_register_exits_zero,CLI subprocess: delegation-register exits 0,exit_code == 0,PENDING_RUN,VERY_LOW,No
G-01,R1_1_1_VALIDATION_DESIGN_REVIEW.md §4.4,LOW,ADD_TEST,None,No source change required,tests/test_r1_1_2_gap_remediation.py,TestG01_CLI_Subprocess::test_g01_delegation_status_exits_zero,CLI subprocess: delegation-status exits 0,exit_code == 0,PENDING_RUN,VERY_LOW,No
G-01,R1_1_1_VALIDATION_DESIGN_REVIEW.md §4.4,LOW,ADD_TEST,None,No source change required,tests/test_r1_1_2_gap_remediation.py,TestG01_CLI_Subprocess::test_g01_audit_attribution_verify_exits_zero,CLI subprocess: audit-attribution-verify exits 0,exit_code == 0,PENDING_RUN,VERY_LOW,No
G-02,R1_1_1_VALIDATION_DESIGN_REVIEW.md §4.4,LOW,ADD_TEST,None,No source change required,tests/test_r1_1_2_gap_remediation.py,TestG02_ForbiddenActionDedicated::test_g02a_external_submission_blocked_for_methods_reviewer,Dedicated: EXTERNAL_SUBMISSION → BLOCK FORBIDDEN_ACTION_ALL_ROLES,decision==BLOCK AND reason_code==FORBIDDEN_ACTION_ALL_ROLES,PENDING_RUN,LOW,No
G-02,R1_1_1_VALIDATION_DESIGN_REVIEW.md §4.4,LOW,ADD_TEST,None,No source change required,tests/test_r1_1_2_gap_remediation.py,TestG02_ForbiddenActionDedicated::test_g02b_clinical_release_blocked_for_methods_reviewer,Dedicated: CLINICAL_RELEASE → BLOCK FORBIDDEN_ACTION_ALL_ROLES,decision==BLOCK AND reason_code==FORBIDDEN_ACTION_ALL_ROLES,PENDING_RUN,LOW,No
G-02,R1_1_1_VALIDATION_DESIGN_REVIEW.md §4.4,LOW,ADD_TEST,None,No source change required,tests/test_r1_1_2_gap_remediation.py,TestG02_ForbiddenActionDedicated::test_g02_forbidden_actions_set_contains_all_five,Verify FORBIDDEN_ACTIONS_ALL_ROLES has exactly 5 actions,set == expected 5-item set,PENDING_RUN,VERY_LOW,No
G-03,R1_1_1_VALIDATION_DESIGN_REVIEW.md §4.4,LOW,ADD_TEST,None,LOCK_RESEARCH_DATA already in _RESEARCH_CONTENT_APPROVAL_ACTIONS at line 150,tests/test_r1_1_2_gap_remediation.py,TestG03_SysAdminLockResearchData::test_g03_sysadmin_cannot_lock_research_data,SYSADMIN + LOCK_RESEARCH_DATA → BLOCK (SoD-02),decision==BLOCK AND reason_code==ADMIN_RESEARCH_APPROVAL,PENDING_RUN,VERY_LOW,No
G-03,R1_1_1_VALIDATION_DESIGN_REVIEW.md §4.4,LOW,ADD_TEST,None,No source change required,tests/test_r1_1_2_gap_remediation.py,TestG03_SysAdminLockResearchData::test_g03_lock_research_data_in_research_content_approval_set,LOCK_RESEARCH_DATA in _RESEARCH_CONTENT_APPROVAL_ACTIONS,LOCK_RESEARCH_DATA in set,PENDING_RUN,VERY_LOW,No
G-04,R1_1_1_VALIDATION_DESIGN_REVIEW.md §4.4; R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-05,MEDIUM,FIX_TEST_ASSERTION,tests/test_r1_1_offline_rbac_synthetic_identity.py,T14: changed assertion from reason_code in (EXPIRED_ROLE|ROLE_NOT_PERMITTED) to reason_code == EXPIRED_ROLE,tests/test_r1_1_offline_rbac_synthetic_identity.py,T14 (updated),All-roles-expired → EXPIRED_ROLE specifically,reason_code == SoDViolation.EXPIRED_ROLE.value,PENDING_RUN,LOW,No
