gap_id,domain,current_state,target_state,risk_level,affected_study_levels,required_control,owner_role,evidence_required,verification_method,go_no_go_dependency,implementation_phase
ID-01,Identity — SSO Integration,No identity provider integrated; Research OS runs offline with no real user authentication,Institutional SSO (SAML 2.0 or OIDC) integrated and enforced for all production users,CRITICAL,LEVEL_A + LEVEL_B + LEVEL_C,Institutional SSO with session management; local accounts forbidden for research use,IT Lead + Institution,SSO integration test report; authentication log showing institutional actor IDs; IdP configuration review,IQ-01 (shared account prevention); IQ-02 (role assignment); penetration test TP-SEC-01,GATE-R1-G1 — BLOCKED if not implemented,R1.2
ID-02,Identity — MFA Enforcement,No MFA in baseline; all access is password-free offline operation,MFA mandatory for 100% of production users with no bypass path on any authentication endpoint,CRITICAL,LEVEL_A + LEVEL_B + LEVEL_C,MFA enforcement at identity provider level; API endpoints enforce MFA completion token; no SMS-only MFA,IT Lead + Security Administrator,MFA enforcement test report; bypass attempt log showing rejection on all paths,IQ-10 (MFA for privileged action); penetration test TP-SEC-01 (MFA bypass),GATE-R1-G2 — BLOCKED if bypassable,R1.2
ID-03,Identity — Authenticated User Identity,ReviewLedger contains username strings without identity verification; reviewer_id is user-supplied,Every write operation carries authenticated_actor_id verified by institutional identity provider,CRITICAL,LEVEL_A + LEVEL_B + LEVEL_C,Session token from SSO verified on every write; actor ID recorded in audit event; no anonymous or pseudonymous write operations,IT Lead + Validation Lead,Audit event samples showing authenticated_actor_id from IdP; token verification log,IQ-09 (delegated action attribution); IQ-13 (audit immutability),GATE-R1-G7 — BLOCKED if not implemented,R1.3
ID-04,RBAC — Role Persistence,No RBAC persistence layer; role concepts exist in design only,RBAC roles persisted in service with PI-approved assignment; role expiry; role history audit trail,HIGH,LEVEL_A + LEVEL_B + LEVEL_C,RBAC service with persistent role store; role assignment requires PI approval; automatic expiry enforcement,IT Lead + Validation Lead,RBAC configuration documentation; role assignment test report; role expiry test,IQ-02 (role assignment approval); IQ-03 (least privilege); IQ-08 (delegation expiry),GATE-R1-G4 — HOLD if not implemented,R1.1 (design) + R1.3 (production)
ID-05,RBAC — Separation of Duties Enforcement,SoD exists as design in documentation only; no technical enforcement,SoD enforced technically: PI cannot self-review; admin cannot approve research content; author cannot be sole approver,HIGH,LEVEL_A + LEVEL_B + LEVEL_C,RBAC service enforces SoD at action level; forbidden actions return permission denied at API layer,Validation Lead + IT Lead,SoD test matrix results; role × action test report; IQ-03 and IQ-04 test evidence,IQ-03 (least privilege); IQ-04 (PI self-review); IQ-06 (escalation prevention),GATE-R1-G9 — BLOCKED if PI can self-review,R1.1 (design) + R1.3 (production)
ID-06,Delegation — Register and Control,No delegation register; Co-I activities not formally authorized in system,Authenticated delegation register: each delegation has PI signature; start/end date; permitted activities; revocation,HIGH,LEVEL_A + LEVEL_B + LEVEL_C,Delegation register service; delegation required before delegated action; delegation_id in audit event; expiry enforcement,PI + IT Lead,Delegation register test report; expiry test; revocation test; audit event with delegation_id,IQ-08 (delegation expiry); IQ-09 (delegated action attribution),GATE-R1-G5 — HOLD if not implemented,R1.4
ID-07,Audit — Authenticated Attribution,Audit log has username strings without authenticated identity; no role_at_event_time; no delegation_reference,Every audit event has authenticated_actor_id + actor_role_at_event_time + delegation_reference + object_hash + tamper-evident integrity,CRITICAL,LEVEL_A + LEVEL_B + LEVEL_C,Write-once audit event store; hash chain or WORM storage; integrity verification procedure; admin cannot delete events,Validation Lead + IT Lead,Audit event schema validation; immutability test (IQ-13); integrity check report; admin-delete rejection log,IQ-09; IQ-13 (audit immutability); IQ-15 (break-glass logging); IQ-19 (backup integrity),GATE-R1-G7 — BLOCKED if attribution not implemented,R1.3
ID-08,Access — Revocation Workflow,No formal access revocation procedure; no offboarding workflow in system,Joiner/Mover/Leaver process with defined SLA: all access revoked within 24h of departure; sessions terminated; delegation revoked,HIGH,LEVEL_A + LEVEL_B + LEVEL_C,Offboarding procedure with technical enforcement; automated session termination on account deactivation; delegation auto-revocation,IT Lead + PI,Offboarding test report (IQ-16); SLA measurement evidence; session termination log,IQ-07 (role revocation); IQ-16 (staff offboarding),GATE-R1-G3 — BLOCKED if 24h SLA not achievable,R1.4
ID-09,Access — Periodic Review,No periodic access review scheduled or performed,Quarterly access review by PI: verify all current role holders; remove stale access; document review outcome,MEDIUM,LEVEL_A + LEVEL_B + LEVEL_C,Access review procedure; PI review checklist; quarterly schedule enforced; review outcome in audit log,PI + IT Lead,First quarterly access review report; review outcome audit event; stale access removal log,IQ-14 (administrator access review); periodic review schedule in Validation Plan,GATE-R1-G10 — HOLD if not documented,R1.4
ID-10,Access — Privileged Account Control,No privileged account management; admin accounts have broad access,Just-in-time privileged access elevation; admin actions audited separately; admin cannot access research data,HIGH,LEVEL_A + LEVEL_B + LEVEL_C,PAM procedure; privileged session logging; admin access to research content blocked technically; separate admin audit trail,Security Administrator + IT Lead,Privileged action audit trail; admin-access-to-research-data rejection log; PAM activation/deactivation log,IQ-14 (administrator access review); IQ-15 (break-glass access logging),GATE-R1-G4 — HOLD if admin has research data access,R1.4
